date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:19	38931/38931	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Sep%202018%2008:28:32%20GMT	https://demo.themewinter.com/html/vinazine/business.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/business.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:19	34581/34581	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Sep%202018%2008:28:32%20GMT	https://demo.themewinter.com/html/vinazine/technology.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/technology.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:19	32907/32907	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Sep%202018%2008:28:32%20GMT	https://demo.themewinter.com/html/vinazine/food.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/food.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:19	44389/44389	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Sep%202018%2008:28:32%20GMT	https://demo.themewinter.com/html/vinazine/crypto.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/crypto.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:19	27682/27682	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Sep%202018%2008:28:32%20GMT	https://demo.themewinter.com/html/vinazine/health.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/health.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:20	31575/31575	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Sep%202018%2013:43:18%20GMT	https://demo.themewinter.com/html/vinazine/travel.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/travel.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:20	66193/66193	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Sep%202018%2008:28:32%20GMT	https://demo.themewinter.com/html/vinazine/sports.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/sports.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:20	33731/33731	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Sep%202018%2008:28:32%20GMT	https://demo.themewinter.com/html/vinazine/personal-blog.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/personal-blog.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:20	87473/87473	---M--	200	added ('OK')	image/jpeg	etag:%22155b1-5b9a06c6-ed9dedc306e8c9b1;;;%22	https://demo.themewinter.com/html/vinazine/images/news/health/health1.jpg	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/images/news/health/health1.jpg	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:21	128558/128558	---M--	200	added ('OK')	image/jpeg	etag:%221f62e-5b9a06c6-22f5cb4081aa4b17;;;%22	https://demo.themewinter.com/html/vinazine/images/news/health/health2.jpg	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/images/news/health/health2.jpg	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
